"cluid_mukey"	"profit12"	"profit14"
"2096905410366"	"160.24"	"-126.26"
"2096905410372"	"160.24"	"-126.26"
"2096906410366"	"399.31"	"-113.69"
"2096906410372"	"399.31"	"-113.69"
"2096906410374"	"326.01"	"-156.47"
"2096906410404"	"346.96"	"-140.43"
"2096906410408"	"420.20"	"-102.98"
"2096906410410"	"158.64"	"-236.70"
"2096906410417"	"263.28"	"-183.21"
"2096906410419"	"179.53"	"-226.02"
"2096906410420"	"263.28"	"-183.21"
"2097008410366"	"474.50"	"-42.81"
"2097008410372"	"474.50"	"-42.81"
"2097008410374"	"400.97"	"-85.87"
"2097008410397"	"180.56"	"-193.54"
"2097008410404"	"421.99"	"-69.73"
"2097008410408"	"495.45"	"-32.03"
"2097008410411"	"264.57"	"-150.48"
"2097008410420"	"338.04"	"-112.78"
"2097009410366"	"395.48"	"-60.48"
"2097009410372"	"395.48"	"-60.48"
"2097009410404"	"343.13"	"-87.40"
"2097009410408"	"416.37"	"-49.70"
"2097009410410"	"154.81"	"-184.29"
"2097009410420"	"259.45"	"-130.45"
"2097010410366"	"386.16"	"-70.19"
"2097010410372"	"386.16"	"-70.19"
"2097010410404"	"333.81"	"-97.11"
"2097010410408"	"407.05"	"-59.41"
"2097010410410"	"145.49"	"-194.00"
"2097012410366"	"156.54"	"-72.92"
"2097012410372"	"156.54"	"-72.92"
"2097012410395"	"-20.54"	"-218.29"
"2097012410404"	"124.87"	"-99.84"
"2097012410408"	"162.74"	"-62.14"
"2097012410410"	"11.13"	"-196.73"
"2097012410420"	"74.34"	"-142.89"
"2097015410366"	"453.62"	"-64.54"
"2097015410371"	"369.61"	"-107.60"
"2097015410372"	"453.62"	"-64.54"
"2097015410373"	"422.12"	"-80.68"
"2097015410374"	"380.09"	"-107.60"
"2097015410375"	"327.64"	"-129.16"
"2097015410385"	"453.62"	"-64.54"
"2097015410394"	"422.12"	"-80.68"
"2097015410399"	"495.59"	"-43.01"
"2097015410404"	"401.11"	"-91.46"
"2097015410408"	"474.57"	"-53.76"
"2097015410410"	"212.19"	"-188.35"
"2097015410412"	"212.19"	"-188.35"
"2097017410366"	"461.81"	"-56.02"
"2097017410368"	"188.89"	"-196.00"
"2097017410370"	"398.82"	"-93.72"
"2097017410372"	"461.81"	"-56.02"
"2097017410374"	"388.28"	"-99.08"
"2097017410381"	"314.81"	"-131.38"
"2097017410383"	"293.85"	"-142.16"
"2097017410386"	"293.85"	"-142.16"
"2097017410408"	"482.76"	"-45.24"
"2097018410366"	"170.56"	"-30.17"
"2097018410370"	"126.22"	"-60.87"
"2097018410372"	"170.56"	"-30.17"
"2097018410383"	"69.35"	"-100.41"
"2097018410399"	"189.43"	"-16.96"
"2097018410408"	"176.76"	"-21.43"
"2097018410411"	"44.16"	"-113.62"
"2097018410412"	"25.15"	"-131.20"
"2097019410366"	"161.76"	"-39.32"
